
qseqid                      	sseqid     	pident	length	qlen	sstart 	send   
sp|P23837|PHOQ_ECOLI|274-480	NC_008463.1	33.333	201	207	2575268	2575858
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	49.048	210	213	2410183	2409569
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	43.602	211	213	4075634	4075005
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	44.500	200	213	2782092	2781496
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	42.991	214	213	5753223	5753858
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	33.163	196	213	5637419	5637997
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	32.110	218	213	2161573	2162223
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	30.631	222	213	5578231	5578863
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	30.137	219	213	4634183	4633569
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	30.093	216	213	2391359	2390721
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	30.493	223	213	1100303	1100953
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	30.317	221	213	4392231	4391587
sp|P77485|CUSS_ECOLI|268-480	NC_008463.1	30.769	221	213	4832131	4831505
sp|Q06067|ATOS_ECOLI|395-602	NC_008463.1	30.909	220	208	6044962	6045609
sp|Q06067|ATOS_ECOLI|395-602	NC_008463.1	33.466	251	208	5092808	5093548
sp|Q06067|ATOS_ECOLI|395-602	NC_008463.1	32.719	217	208	5578228	5578872
sp|Q06067|ATOS_ECOLI|395-602	NC_008463.1	33.810	210	208	6448754	6449377
sp|Q06067|ATOS_ECOLI|395-602	NC_008463.1	31.982	222	208	3860992	3860342
sp|Q06067|ATOS_ECOLI|395-602	NC_008463.1	30.275	218	208	5868133	5867495
sp|Q06067|ATOS_ECOLI|395-602	NC_008463.1	31.429	210	208	4460195	4459581
sp|Q06067|ATOS_ECOLI|395-602	NC_008463.1	33.180	217	208	6478341	6477706
sp|P0AFB5|NTRB_ECOLI|136-349	NC_008463.1	57.991	219	214	6044962	6045615
sp|P0AFB5|NTRB_ECOLI|136-349	NC_008463.1	31.416	226	214	1668910	1668254
sp|P0AFB5|NTRB_ECOLI|136-349	NC_008463.1	30.837	227	214	5578228	5578863
sp|P0AFB5|NTRB_ECOLI|136-349	NC_008463.1	31.602	231	214	4288278	4288931
sp|P0AFB5|NTRB_ECOLI|136-349	NC_008463.1	30.244	205	214	5366790	5367371
sp|P0AFB5|NTRB_ECOLI|136-349	NC_008463.1	31.532	222	214	6448754	6449359
sp|P0AFB5|NTRB_ECOLI|136-349	NC_008463.1	31.064	235	214	2161573	2162235
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	46.445	211	216	6301105	6301737
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	36.530	219	216	2391359	2390721
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	32.589	224	216	1668913	1668257
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	33.333	222	216	2410183	2409548
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	31.140	228	216	3888762	3889418
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	30.556	216	216	1977306	1976686
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	32.127	221	216	4392231	4391581
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	34.703	219	216	2161570	2162217
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	32.110	218	216	930061	930708
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	33.184	223	216	4075634	4074990
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	31.132	212	216	6448754	6449371
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	32.828	198	216	3683597	3684163
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	31.250	224	216	5868136	5867483
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	30.374	214	216	4634183	4633572
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	31.863	204	216	4832131	4831550
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	30.049	203	216	5637419	5637985
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	30.667	225	216	5322052	5321408
sp|P08400|PHOR_ECOLI|210-425	NC_008463.1	32.569	218	216	2828261	2827638
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	40.385	208	221	2161570	2162193
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	38.164	207	221	1100300	1100920
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	39.713	209	221	4636672	4637295
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	36.364	209	221	2391359	2390760
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	37.019	208	221	1668910	1668290
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	35.749	207	221	3888762	3889379
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	34.842	221	221	930061	930684
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	35.922	206	221	5322052	5321441
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	37.019	208	221	2662983	2663603
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	30.952	210	221	5868136	5867516
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	34.615	208	221	5326244	5325630
sp|P30855|EVGS_ECOLI|718-938	NC_008463.1	33.493	209	221	5724078	5724689
sp|P0AFA2|NARX_ECOLI|393-587	NC_008463.1	44.388	196	195	1179403	1178816
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	36.318	201	214	3860995	3860402
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	32.258	217	214	3683594	3684220
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	32.057	209	214	6448754	6449371
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	32.727	220	214	2161573	2162217
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	30.180	222	214	1884789	1884157
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	31.081	222	214	1668910	1668257
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	31.628	215	214	1977303	1976692
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	32.444	225	214	4392234	4391581
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	30.952	210	214	2410180	2409608
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	31.220	205	214	1100300	1100908
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	30.374	214	214	5753226	5753861
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	33.180	217	214	6478344	6477715
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	30.102	196	214	5637425	5637997
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	30.594	219	214	1991188	1991766
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	30.233	215	214	5868133	5867495
sp|P21865|KDPD_ECOLI|670-883	NC_008463.1	30.876	217	214	2662986	2663630
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	41.818	220	217	5326244	5325588
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	42.009	219	217	1668910	1668254
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	42.793	222	217	4636675	4637331
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	40.187	214	217	2391356	2390718
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	40.639	219	217	5322052	5321402
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	34.842	221	217	1070601	1071257
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	37.727	220	217	3888762	3889421
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	35.455	220	217	930061	930720
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	37.727	220	217	2161570	2162217
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	35.000	220	217	5868136	5867477
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	38.117	223	217	1100300	1100959
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	38.739	222	217	2662983	2663642
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	33.333	213	217	6448751	6449371
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	31.651	218	217	5724078	5724731
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	30.556	216	217	1884789	1884154
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	31.556	225	217	3860995	3860345
sp|P0DMC5|RCSC_ECOLI|476-692	NC_008463.1	30.047	213	217	6301105	6301737
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	33.990	203	211	3683597	3684202
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	34.562	217	211	4634183	4633572
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	32.143	196	211	4392231	4391647
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	32.870	216	211	1977306	1976683
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	31.532	222	211	1668910	1668254
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	32.710	214	211	6448754	6449377
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	30.493	223	211	4636672	4637337
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	33.036	224	211	3888762	3889421
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	33.632	223	211	3860992	3860345
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	33.649	211	211	2410183	2409569
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	33.493	209	211	1991191	1991763
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	33.945	218	211	4832131	4831508
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	30.876	217	211	2542386	2541781
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	31.863	204	211	6124081	6123503
sp|P0AE82|CPXA_ECOLI|245-455	NC_008463.1	30.208	192	211	5322052	5321489
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	42.986	221	215	1668910	1668254
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	40.271	221	215	4636675	4637331
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	41.364	220	215	5326241	5325588
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	42.534	221	215	5322052	5321402
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	43.056	216	215	2391356	2390718
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	40.090	222	215	3888762	3889421
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	39.910	223	215	930064	930726
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	37.387	222	215	2161573	2162232
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	38.914	221	215	5868133	5867477
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	33.636	220	215	5724078	5724731
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	34.091	220	215	1070604	1071257
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	34.123	211	215	6448754	6449377
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	36.123	227	215	1100303	1100965
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	36.652	221	215	2662986	2663642
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	30.909	220	215	3472272	3471634
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	31.390	223	215	921702	921073
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	31.278	227	215	6301108	6301761
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	30.631	222	215	3860995	3860345
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	31.068	206	215	2410180	2409593
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	30.180	222	215	2782089	2781457
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	30.137	219	215	3683594	3684217
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	30.198	202	215	537543	538127
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	30.303	231	215	6044965	6045609
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	30.516	213	215	2542386	2541781
sp|P39453|TORS_ECOLI|450-664	NC_008463.1	30.049	203	215	6124081	6123533
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	52.727	220	222	4636672	4637331
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	46.396	222	222	930061	930726
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	46.154	221	222	3888762	3889421
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	41.892	222	222	5868136	5867471
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	42.056	214	222	1668913	1668272
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	45.327	214	222	2391359	2390736
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	41.518	224	222	2161570	2162223
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	39.640	222	222	5326244	5325585
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	36.364	220	222	1070601	1071257
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	41.315	213	222	5322052	5321420
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	38.679	212	222	1100303	1100935
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	33.937	221	222	5724075	5724734
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	37.333	225	222	2662983	2663648
sp|P0AEC5|BARA_ECOLI|299-520	NC_008463.1	30.702	228	222	3455439	3454810
sp|P0AEJ4|ENVZ_ECOLI|240-440	NC_008463.1	41.294	201	201	6124084	6123494
sp|P0AEJ4|ENVZ_ECOLI|240-440	NC_008463.1	34.259	216	201	4392234	4391590
sp|P0AEJ4|ENVZ_ECOLI|240-440	NC_008463.1	34.951	206	201	1991188	1991763
sp|P0AEJ4|ENVZ_ECOLI|240-440	NC_008463.1	30.688	189	201	4634180	4633620
sp|P0AEJ4|ENVZ_ECOLI|240-440	NC_008463.1	30.233	215	201	4832125	4831508
sp|P07363|CHEA_ECOLI|257-509	NC_008463.1	64.542	251	253	202200	201448
sp|P07363|CHEA_ECOLI|257-509	NC_008463.1	47.082	257	253	4056102	4055347
sp|P07363|CHEA_ECOLI|257-509	NC_008463.1	40.084	237	253	1410520	1411197
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	42.661	218	219	1668910	1668260
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	39.819	221	219	4636675	4637334
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	38.739	222	219	3888762	3889424
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	38.914	221	219	5326244	5325594
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	37.557	221	219	5322052	5321399
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	39.623	212	219	2391356	2390730
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	35.909	220	219	2161570	2162223
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	36.481	233	219	5868136	5867480
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	34.842	221	219	930061	930714
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	33.790	219	219	1070601	1071254
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	32.110	218	219	5724078	5724725
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	32.243	214	219	1100300	1100935
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	35.135	222	219	2662983	2663645
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	31.019	216	219	1884789	1884160
sp|P0AEC3|ARCB_ECOLI|289-507	NC_008463.1	31.982	222	219	6301105	6301755
sp|P40719|QSEC_ECOLI|243-449	NC_008463.1	39.378	193	207	5637419	5637985
sp|P40719|QSEC_ECOLI|243-449	NC_008463.1	35.545	211	207	1977306	1976698
sp|P40719|QSEC_ECOLI|243-449	NC_008463.1	33.500	200	207	2782092	2781505
sp|P40719|QSEC_ECOLI|243-449	NC_008463.1	34.742	213	207	4832131	4831511
sp|P40719|QSEC_ECOLI|243-449	NC_008463.1	30.732	205	207	537549	538148
sp|P40719|QSEC_ECOLI|243-449	NC_008463.1	31.401	207	207	2410183	2409590
sp|P40719|QSEC_ECOLI|243-449	NC_008463.1	30.476	210	207	6301105	6301725
sp|P40719|QSEC_ECOLI|243-449	NC_008463.1	33.005	203	207	4126008	4126586
sp|P40719|QSEC_ECOLI|243-449	NC_008463.1	30.435	207	207	1991194	1991754
sp|P40719|QSEC_ECOLI|243-449	NC_008463.1	32.653	196	207	4634183	4633629
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	41.706	211	208	3683594	3684223
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	37.963	216	208	4392234	4391587
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	34.634	205	208	6124084	6123506
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	33.803	213	208	6448754	6449371
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	34.783	207	208	1991188	1991763
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	34.272	213	208	2410180	2409563
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	33.921	227	208	1977303	1976689
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	31.280	211	208	4075631	4075008
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	32.877	219	208	1668910	1668254
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	31.925	213	208	3455439	3454810
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	32.039	206	208	4634180	4633596
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	31.553	206	208	2542386	2541805
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	32.000	200	208	5637425	5637997
sp|P18392|RSTB_ECOLI|218-425	NC_008463.1	32.719	217	208	5322052	5321414
sp|P08401|CREC_ECOLI|262-473	NC_008463.1	47.664	214	212	537543	538175
sp|P08401|CREC_ECOLI|262-473	NC_008463.1	32.701	211	212	1991188	1991766
sp|P08401|CREC_ECOLI|262-473	NC_008463.1	33.649	211	212	4832122	4831511
sp|P08401|CREC_ECOLI|262-473	NC_008463.1	30.198	202	212	6301108	6301674
sp|P08401|CREC_ECOLI|262-473	NC_008463.1	31.156	199	212	4634180	4633620
sp|P08401|CREC_ECOLI|262-473	NC_008463.1	31.081	222	212	6087050	6087679
sp|P08401|CREC_ECOLI|262-473	NC_008463.1	32.195	205	212	5868133	5867531
sp|P08401|CREC_ECOLI|262-473	NC_008463.1	30.622	209	212	3455445	3454831
sp|P27896|NARQ_ECOLI|364-559	NC_008463.1	42.347	196	196	1179403	1178822
sp|P27896|NARQ_ECOLI|364-559	NC_008463.1	30.978	184	196	3468904	3468371

