
qseqid                      	sseqid       	pident	length	qlen	sstart 	send   
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028827.1	31.019	216	208	2425262	2425906
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028827.1	30.189	212	208	1005524	1004895
sp|P14377|ZRAS_ECOLI|251-458	NZ_CP028827.1	30.093	216	208	221139	220519
sp|P23837|PHOQ_ECOLI|274-480	NZ_CP028827.1	33.500	200	207	1316745	1316164
sp|P77510|DPIB_ECOLI|344-541	NZ_CP028827.1	45.128	195	198	2238562	2239140
sp|P77510|DPIB_ECOLI|344-541	NZ_CP028827.1	38.308	201	198	1364064	1364657
sp|P77485|CUSS_ECOLI|268-480	NZ_CP028827.1	31.628	215	213	1682488	1683111
sp|P77485|CUSS_ECOLI|268-480	NZ_CP028827.1	33.480	227	213	2311872	2311228
sp|P77485|CUSS_ECOLI|268-480	NZ_CP028827.1	31.925	213	213	194710	195306
sp|P77485|CUSS_ECOLI|268-480	NZ_CP028827.1	31.163	215	213	221142	220522
sp|P77485|CUSS_ECOLI|268-480	NZ_CP028828.1	31.100	209	213	1063047	1062439
sp|Q06067|ATOS_ECOLI|395-602	NZ_CP028827.1	35.349	215	208	1447376	1448011
sp|Q06067|ATOS_ECOLI|395-602	NZ_CP028827.1	35.321	218	208	160588	159950
sp|Q06067|ATOS_ECOLI|395-602	NZ_CP028827.1	31.579	247	208	1934948	1934211
sp|Q06067|ATOS_ECOLI|395-602	NZ_CP028827.1	31.401	207	208	791595	792212
sp|Q06067|ATOS_ECOLI|395-602	NZ_CP028827.1	35.616	219	208	1005524	1004895
sp|Q06067|ATOS_ECOLI|395-602	NZ_CP028827.1	31.122	196	208	1686253	1685711
sp|Q06067|ATOS_ECOLI|395-602	NZ_CP028828.1	30.120	249	208	667250	666513
sp|Q06067|ATOS_ECOLI|395-602	NZ_CP028828.1	32.701	211	208	648775	648149
sp|Q06067|ATOS_ECOLI|395-602	NZ_CP028828.1	30.189	212	208	472128	472757
sp|P0AFB5|NTRB_ECOLI|136-349	NZ_CP028827.1	67.606	213	214	160588	159950
sp|P0AFB5|NTRB_ECOLI|136-349	NZ_CP028827.1	30.493	223	214	1447376	1448011
sp|P0AFB5|NTRB_ECOLI|136-349	NZ_CP028828.1	31.356	236	214	472128	472766
sp|P08400|PHOR_ECOLI|210-425	NZ_CP028827.1	64.384	219	216	2311872	2311219
sp|P08400|PHOR_ECOLI|210-425	NZ_CP028827.1	30.973	226	216	1647027	1646374
sp|P08400|PHOR_ECOLI|210-425	NZ_CP028827.1	30.263	228	216	160585	159953
sp|P0AEC8|DCUS_ECOLI|346-538	NZ_CP028827.1	36.598	194	193	2238565	2239137
sp|P0AEC8|DCUS_ECOLI|346-538	NZ_CP028827.1	34.483	203	193	1364058	1364660
sp|P30855|EVGS_ECOLI|718-938	NZ_CP028827.1	34.123	211	221	555579	556199
sp|P30855|EVGS_ECOLI|718-938	NZ_CP028827.1	31.731	208	221	1109789	1110403
sp|P30855|EVGS_ECOLI|718-938	NZ_CP028827.1	30.986	213	221	446907	446290
sp|P30855|EVGS_ECOLI|718-938	NZ_CP028827.1	30.233	215	221	2425256	2425870
sp|P30855|EVGS_ECOLI|718-938	NZ_CP028827.1	30.583	206	221	1543369	1542773
sp|P30855|EVGS_ECOLI|718-938	NZ_CP028828.1	35.437	206	221	656660	656055
sp|P30855|EVGS_ECOLI|718-938	NZ_CP028828.1	31.532	222	221	683898	683239
sp|P0AFA2|NARX_ECOLI|393-587	NZ_CP028828.1	37.755	196	195	612729	612142
sp|P21865|KDPD_ECOLI|670-883	NZ_CP028828.1	38.785	214	214	472128	472757
sp|P21865|KDPD_ECOLI|670-883	NZ_CP028827.1	31.481	216	214	1682485	1683111
sp|P21865|KDPD_ECOLI|670-883	NZ_CP028827.1	32.093	215	214	2783090	2782458
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP028827.1	36.986	219	217	1109789	1110445
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP028827.1	39.908	218	217	1647027	1646374
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP028827.1	36.481	233	217	446907	446248
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP028827.1	35.981	214	217	1298112	1298753
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP028827.1	40.444	225	217	555579	556244
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP028827.1	37.850	214	217	1543369	1542731
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP028827.1	31.878	229	217	2425256	2425906
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP028827.1	30.516	213	217	2783090	2782470
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP028828.1	38.249	217	217	656660	656013
sp|P0DMC5|RCSC_ECOLI|476-692	NZ_CP028828.1	36.697	218	217	683898	683245
sp|P0AE82|CPXA_ECOLI|245-455	NZ_CP028827.1	54.067	209	211	221142	220519
sp|P0AE82|CPXA_ECOLI|245-455	NZ_CP028827.1	34.450	209	211	194710	195306
sp|P0AE82|CPXA_ECOLI|245-455	NZ_CP028827.1	31.364	220	211	1543369	1542731
sp|P39453|TORS_ECOLI|450-664	NZ_CP028828.1	46.119	219	215	656657	656007
sp|P39453|TORS_ECOLI|450-664	NZ_CP028828.1	34.234	222	215	683898	683239
sp|P39453|TORS_ECOLI|450-664	NZ_CP028828.1	31.390	223	215	472128	472763
sp|P39453|TORS_ECOLI|450-664	NZ_CP028828.1	31.579	228	215	158143	157520
sp|P39453|TORS_ECOLI|450-664	NZ_CP028827.1	38.839	224	215	446907	446248
sp|P39453|TORS_ECOLI|450-664	NZ_CP028827.1	37.946	224	215	1109792	1110451
sp|P39453|TORS_ECOLI|450-664	NZ_CP028827.1	39.535	215	215	1647024	1646386
sp|P39453|TORS_ECOLI|450-664	NZ_CP028827.1	35.000	220	215	2425262	2425906
sp|P39453|TORS_ECOLI|450-664	NZ_CP028827.1	36.323	223	215	555582	556244
sp|P39453|TORS_ECOLI|450-664	NZ_CP028827.1	32.432	222	215	1298109	1298753
sp|P39453|TORS_ECOLI|450-664	NZ_CP028827.1	31.507	219	215	1543369	1542728
sp|P39453|TORS_ECOLI|450-664	NZ_CP028827.1	31.111	225	215	1447379	1448011
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP028827.1	68.182	220	222	446910	446251
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP028827.1	48.624	218	222	1647027	1646374
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP028827.1	38.914	221	222	1109792	1110445
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP028827.1	39.189	222	222	555582	556244
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP028827.1	42.466	219	222	1543369	1542731
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP028827.1	36.771	223	222	2425262	2425906
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP028827.1	35.443	237	222	1298112	1298753
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP028828.1	46.575	219	222	656657	656013
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP028828.1	39.111	225	222	683901	683239
sp|P0AEC5|BARA_ECOLI|299-520	NZ_CP028828.1	31.081	222	222	472128	472742
sp|P0AEJ4|ENVZ_ECOLI|240-440	NZ_CP028827.1	54.455	202	201	194707	195306
sp|P0AEJ4|ENVZ_ECOLI|240-440	NZ_CP028827.1	30.374	214	201	221139	220519
sp|P0AEJ4|ENVZ_ECOLI|240-440	NZ_CP028827.1	32.110	218	201	446910	446278
sp|P07363|CHEA_ECOLI|257-509	NZ_CP028828.1	54.762	252	253	1053791	1053036
sp|P07363|CHEA_ECOLI|257-509	NZ_CP028827.1	44.444	261	253	1597225	1598007
sp|P07363|CHEA_ECOLI|257-509	NZ_CP028827.1	43.028	251	253	863602	864345
sp|P0AEC3|ARCB_ECOLI|289-507	NZ_CP028827.1	63.964	222	219	555579	556241
sp|P0AEC3|ARCB_ECOLI|289-507	NZ_CP028827.1	41.284	218	219	446907	446257
sp|P0AEC3|ARCB_ECOLI|289-507	NZ_CP028827.1	40.724	221	219	1647027	1646374
sp|P0AEC3|ARCB_ECOLI|289-507	NZ_CP028827.1	37.615	218	219	1109789	1110439
sp|P0AEC3|ARCB_ECOLI|289-507	NZ_CP028827.1	40.826	218	219	1543369	1542737
sp|P0AEC3|ARCB_ECOLI|289-507	NZ_CP028827.1	32.569	218	219	2425256	2425900
sp|P0AEC3|ARCB_ECOLI|289-507	NZ_CP028827.1	33.491	212	219	1298109	1298729
sp|P0AEC3|ARCB_ECOLI|289-507	NZ_CP028827.1	30.275	218	219	2783090	2782464
sp|P0AEC3|ARCB_ECOLI|289-507	NZ_CP028828.1	36.530	219	219	656660	656010
sp|P0AEC3|ARCB_ECOLI|289-507	NZ_CP028828.1	32.719	217	219	683898	683251
sp|P40719|QSEC_ECOLI|243-449	NZ_CP028828.1	37.113	194	207	1063050	1062481
sp|P40719|QSEC_ECOLI|243-449	NZ_CP028827.1	30.102	196	207	2783084	2782512
sp|P18392|RSTB_ECOLI|218-425	NZ_CP028827.1	31.604	212	208	1682485	1683117
sp|P18392|RSTB_ECOLI|218-425	NZ_CP028827.1	30.769	208	208	221139	220519
sp|P18392|RSTB_ECOLI|218-425	NZ_CP028827.1	33.014	209	208	194707	195306
sp|P18392|RSTB_ECOLI|218-425	NZ_CP028827.1	30.093	216	208	2311869	2311228
sp|P18392|RSTB_ECOLI|218-425	NZ_CP028827.1	33.929	224	208	2425262	2425906
sp|P18392|RSTB_ECOLI|218-425	NZ_CP028827.1	30.942	223	208	1005524	1004895
sp|P18392|RSTB_ECOLI|218-425	NZ_CP028827.1	30.455	220	208	1543369	1542731
sp|P18392|RSTB_ECOLI|218-425	NZ_CP028828.1	30.734	218	208	656657	656013
sp|P18392|RSTB_ECOLI|218-425	NZ_CP028828.1	30.734	218	208	158143	157526
sp|P08401|CREC_ECOLI|262-473	NZ_CP028828.1	31.220	205	212	472128	472733
sp|P08401|CREC_ECOLI|262-473	NZ_CP028827.1	33.163	196	212	2425262	2425846
sp|P08401|CREC_ECOLI|262-473	NZ_CP028827.1	32.292	192	212	2311869	2311309
sp|P27896|NARQ_ECOLI|364-559	NZ_CP028828.1	48.756	201	196	612729	612130

